episodes,eval_sod_reward,eval_sod_end_l2
10,-34.26522905259213,0.0031248135373038483
20,-29.357908204714164,0.002508354506108579
30,-25.89450953925761,0.0017692058656238313
40,-23.465604037675504,0.0012889789250263796
50,-21.64596349114498,0.0010749928194307313
60,-20.286368962345964,0.0009910553229101077
70,-19.1950260651277,0.0009446742573991559
80,-18.28950676369144,0.0009114633308795609
90,-17.481862812082877,0.0008907271590753956
100,-16.714380655623604,0.0008790306701599926
110,-15.981357153972334,0.0008773323322417039
120,-15.282827745939235,0.0008829387088783916
130,-14.563500397555975,0.0008814292991464968
140,-13.84385917087475,0.0008390565931839178
150,-13.131717795983624,0.0007783956612822439
160,-12.404198199862293,0.0007109930843811544
170,-11.653748292074658,0.0006168638095804819
180,-10.856924530680402,0.0004944050930647598
190,-9.984355073783426,0.00034452516102330026
200,-9.246551777842233,0.0002488765122756708
210,-8.823129703398683,0.00023155263633460165
220,-8.471201405029746,0.00022285478217317245
230,-8.137636784183249,0.00021224164701388873
240,-7.8883358391868015,0.00020952843869682095
250,-7.64712434478685,0.0001996702511674247
260,-7.360191619693367,0.00017922739139983817
270,-7.122846987713669,0.0001682011164772602
280,-6.926451352393191,0.0001632757770467174
290,-6.735863565396829,0.00015547357932642325
300,-6.5797672665888625,0.00015137494901845656
310,-6.40557706597712,0.00014209241167111193
320,-6.245680648570425,0.00013493713626024613
330,-6.089663773229408,0.0001283683278382221
340,-5.959313851759805,0.00012653194282445874
350,-5.832866390556163,0.0001241241551832614
360,-5.708154225263841,0.00012029781022931547
370,-5.597049916892661,0.00011780953708514269
380,-5.497379281402119,0.0001164661508815258
390,-5.401960811299941,0.00011494628288684276
400,-5.315023374481197,0.00011353403962439627
410,-5.220751178253475,0.00011191891520617989
420,-5.144138202832868,0.00011028400737419455
430,-5.081301138044334,0.00010945334830734607
440,-5.016902765239338,0.00010903941410355257
450,-4.958594896412762,0.00010838637630707306
460,-4.895393999807471,0.00010678147504660049
470,-4.8409178388885685,0.00010593774913700602
480,-4.79114003891764,0.00010541653356233365
490,-4.742871173265239,0.00010461460879498723
500,-4.694158564814946,0.00010360582448259921
510,-4.647688691013104,0.00010274805393803484
520,-4.603302675107636,0.00010197601901676085
530,-4.558639047894906,0.00010127352369561071
540,-4.518713678320622,0.00010094827738662628
550,-4.479341504062565,0.00010040914127362845
560,-4.444583798677809,0.00010017136455521277
570,-4.412785127575394,0.00010026789450941674
580,-4.382219797621361,0.00010032198829378493
590,-4.353010743002476,0.00010031341312702707
600,-4.324744585807999,0.00010039075111740744
610,-4.2964872392191085,0.00010033417823326634
620,-4.269416410634547,0.00010050664772554215
630,-4.238617697731262,9.988242747075716e-05
640,-4.212681205989032,9.95970516838037e-05
650,-4.190384687890589,9.95979709724617e-05
660,-4.167334686214467,9.931530221247005e-05
670,-4.146404158271829,9.930719102054006e-05
680,-4.124803613805987,9.900821969195214e-05
690,-4.105247395459346,9.891332882886327e-05
700,-4.086483131211177,9.887292345006446e-05
710,-4.067589570340489,9.868019826452395e-05
720,-4.049177149384503,9.861123863498486e-05
730,-4.02927885484008,9.814387963892164e-05
740,-4.014017751352951,9.806541862008986e-05
750,-3.9919506044993383,9.703954126894345e-05
760,-3.9717593761446515,9.692841711225324e-05
770,-3.9545021932750317,9.705262470263606e-05
780,-3.935565502514455,9.662206958370197e-05
790,-3.917579380331247,9.628037198650667e-05
800,-3.9004120839684737,9.628412096936181e-05
810,-3.8804941301591636,9.586958225388195e-05
820,-3.8633339008129077,9.563238839625672e-05
830,-3.848292994292644,9.553735503631571e-05
840,-3.8318234260291746,9.538547136644876e-05
850,-3.8151457457182336,9.537005751492285e-05
860,-3.7991539987042455,9.52912187708917e-05
870,-3.785369929634248,9.550095162346181e-05
880,-3.7689211354768495,9.55532779325555e-05
890,-3.75416574033574,9.572277446628376e-05
900,-3.7384578879151937,9.560790802376999e-05
910,-3.7213313213545853,9.515283399113124e-05
920,-3.706557006084431,9.511520803632454e-05
930,-3.69219116151039,9.484650983297543e-05
940,-3.676509728863103,9.447089828651666e-05
950,-3.6636708718967785,9.427790783384718e-05
960,-3.653798823822848,9.437007244919704e-05
970,-3.6401729467230752,9.44283383034684e-05
980,-3.6253859318929016,9.435378435355422e-05
990,-3.610431934241255,9.41813757688703e-05
1000,-3.5969073546209613,9.416957039099912e-05
1010,-3.585660262967996,9.425730027529831e-05
1020,-3.573424587925358,9.407827373205939e-05
1030,-3.5624743186590884,9.42819629828563e-05
1040,-3.548803219627491,9.408535346164903e-05
1050,-3.535606948225112,9.395135003771859e-05
1060,-3.5234475938881666,9.387831865160441e-05
1070,-3.511838737709541,9.376825732764028e-05
1080,-3.5007739962326725,9.382489376090218e-05
1090,-3.488284533104661,9.358919333108931e-05
1100,-3.4772624902305354,9.356143036468564e-05
1110,-3.464266831580977,9.327902305903371e-05
1120,-3.4540429928163388,9.326324752523367e-05
1130,-3.44102962416193,9.295940921123022e-05
1140,-3.4285937089852965,9.290185205362496e-05
1150,-3.4164459633777438,9.264404129542074e-05
1160,-3.4072009905984224,9.261356376086085e-05
1170,-3.3964369356098185,9.240966957609459e-05
1180,-3.3832835019889984,9.218335535400988e-05
1190,-3.371654594112248,9.197886142152425e-05
1200,-3.3591452387053544,9.175461569281946e-05
1210,-3.3464976885335993,9.134686934459835e-05
1220,-3.33407413020552,9.092204894075062e-05
1230,-3.3295728457770384,9.167907047701767e-05
1240,-3.315828294338857,9.093327310775922e-05
1250,-3.301034543723573,9.036984938624251e-05
1260,-3.2910439094281947,9.043595192620218e-05
1270,-3.2839355980370635,9.085818577719363e-05
1280,-3.2706369649294067,9.031827209811681e-05
1290,-3.2562414085103453,8.974218306681954e-05
1300,-3.2405050029986255,8.902151993131106e-05
1310,-3.2303917175184202,8.912503517537146e-05
1320,-3.218116132073913,8.875342162401556e-05
1330,-3.2060017605009414,8.828014455966026e-05
1340,-3.1901764281859712,8.718230539617536e-05
1350,-3.1818132112033273,8.710485918565013e-05
1360,-3.179761846068729,8.822930241468716e-05
1370,-3.1552053515555443,8.608719415347691e-05
1380,-3.143543811871234,8.607124858429942e-05
1390,-3.13786276150199,8.678504983783734e-05
1400,-3.12062386111279,8.555734478278805e-05
1410,-3.1094294676346776,8.540942710836598e-05
1420,-3.1025369547339436,8.601135186323978e-05
1430,-3.088556319902915,8.547463912851307e-05
1440,-3.0775399746051213,8.582750374361121e-05
1450,-3.0575506841751676,8.457921296190021e-05
1460,-3.042808550328155,8.406786748259511e-05
1470,-3.0334571678393245,8.438105711868858e-05
1480,-3.0204121628673746,8.377886242427397e-05
1490,-3.0065264938009775,8.310454901953832e-05
1500,-3.0005188845462656,8.326423492126152e-05
1510,-2.986244871803327,8.265277959909385e-05
1520,-2.9895223396701436,8.455100130210104e-05
1530,-2.969647690616457,8.213813095142915e-05
1540,-2.955976276139317,8.138450672333176e-05
1550,-2.9410580544368448,8.033716553054613e-05
1560,-2.9413712835194943,8.214639127953968e-05
1570,-2.9295513403251534,8.18798405805903e-05
1580,-2.9135437021364923,8.095859210747967e-05
1590,-2.9001184213559448,8.065374773269212e-05
1600,-2.883484539200032,7.954561202320952e-05
1610,-2.868715696615167,7.886054217806075e-05
1620,-2.8705548522184237,8.02887383551355e-05
1630,-2.8547924002539204,7.916153677056504e-05
1640,-2.846576722522524,7.942541370678124e-05
1650,-2.827714703818684,7.780414990174139e-05
1660,-2.813595110688292,7.691583190230886e-05
1670,-2.806519227218672,7.721674940646225e-05
1680,-2.7934812279529275,7.692734906396381e-05
1690,-2.777234477646633,7.632268173638165e-05
1700,-2.7657239906388114,7.644747954152557e-05
1710,-2.755391695178188,7.641612714326153e-05
1720,-2.7452097834309352,7.635429438450654e-05
1730,-2.711192827981204,7.291843984448798e-05
1740,-2.7277313512805983,7.680137311170586e-05
1750,-2.695054320147895,7.336621400370297e-05
1760,-2.7021063133446055,7.583824205120329e-05
1770,-2.705388829918531,7.742253332522032e-05
1780,-2.6905045753716377,7.635476729353735e-05
1790,-2.6642148500308562,7.37616418991708e-05
1800,-2.6528262738987496,7.290237593265831e-05
1810,-2.664498024265972,7.589431279103541e-05
1820,-2.6473648361560134,7.424796763564842e-05
1830,-2.632608097811209,7.325107744041172e-05
1840,-2.633628370447102,7.417704930263053e-05
1850,-2.6295038217745255,7.442433880205583e-05
1860,-2.6263567089929043,7.504095871743733e-05
1870,-2.606832200917862,7.297622733793025e-05
1880,-2.6103488855406343,7.413039537617438e-05
1890,-2.5915157820731025,7.207000703266749e-05
1900,-2.5994369694251294,7.397525166371249e-05
1910,-2.5955366123533117,7.413747994569436e-05
1920,-2.563922035721243,7.026208382359376e-05
1930,-2.5770811413780415,7.308557515035099e-05
1940,-2.5679372559824736,7.264725327855562e-05
1950,-2.5786526677784214,7.516436153403214e-05
1960,-2.531226191070014,6.899926540643267e-05
1970,-2.540485947546865,7.121313686388658e-05
1980,-2.553895105180367,7.408194533605523e-05
1990,-2.5317540381458152,7.158991606509602e-05
2000,-2.519944893125532,7.056079754097338e-05
2010,-2.528212022179095,7.257145248317791e-05
2020,-2.5224026058063895,7.245064545504274e-05
2030,-2.505506309483556,7.071258079261929e-05
2040,-2.4946599567606866,6.988310870828134e-05
2050,-2.4998788047823974,7.15046483371222e-05
2060,-2.4818848265976086,6.935247155789599e-05
2070,-2.4718292106237016,6.874436084433212e-05
2080,-2.4597610588852894,6.797728472981346e-05
2090,-2.4623910200886567,6.877227936522248e-05
2100,-2.475421504009039,7.176641361148083e-05
2110,-2.4493265790766916,6.837512083835333e-05
2120,-2.4566468215313555,7.027663789478973e-05
2130,-2.4467992322612955,6.953456881576848e-05
2140,-2.450062018121693,7.069499219235035e-05
2150,-2.42160457658374,6.711813090453441e-05
2160,-2.430688291825386,6.929491732819567e-05
2170,-2.439656191998457,7.134975365833845e-05
2180,-2.4277427975878267,7.029434780867334e-05
2190,-2.4015191739279147,6.698199712471567e-05
2200,-2.3965367784883154,6.697345410711474e-05
2210,-2.415858161395232,7.079685350370161e-05
2220,-2.3848738694286378,6.689015182475685e-05
2230,-2.3978921191744624,6.957865311639094e-05
2240,-2.3870968721572177,6.852516498866279e-05
2250,-2.3686971825871983,6.632261109193039e-05
2260,-2.3874111562114955,6.995695881662396e-05
2270,-2.3704427817812648,6.811240876334822e-05
2280,-2.3549116352501955,6.653421836424155e-05
2290,-2.367813081984649,6.932898115418818e-05
2300,-2.353112329652299,6.798225230382681e-05
