episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
270,-64.67645630006182,0.011286824957146016,-11.303728989556296,6.00709552393729e-05,-11.303728989556296,6.00709552393729e-05,8746,0.9888347909180264,0.011165209081973616,270000,64.41873780839101,-1.9234047863948833e-05,"[[0.085,0.81,0.106],[0.1,0.655,0.245]]"
280,-64.11647377214037,0.011133259654591082,-11.139290899591302,5.876528789850582e-05,-11.139290899591302,5.876528789850582e-05,9089,0.9894988564856867,0.01050114351431332,280000,63.8731045329952,-2.0950245982475905e-10,"[[0.011,0.918,0.071],[0.043,0.55,0.407]]"
290,-63.58396770283035,0.010994029609478798,-11.00261747971386,5.7872982563780065e-05,-11.00261747971386,5.7872982563780065e-05,9430,0.9902778814942145,0.009722118505785558,290000,63.34811409750713,-226.82534319864777,"[[0.113,0.703,0.184],[0.33,0.385,0.285]]"
300,-63.06009597102944,0.010871625353409336,-10.86837112577434,5.702004702241735e-05,-10.86837112577434,5.702004702241735e-05,9764,0.9903586242119,0.009641375788099975,300000,62.82536017379614,-6.55680271856701e-08,"[[0.421,0.517,0.062],[0.172,0.647,0.181]]"
310,-62.53736030980624,0.01076096372695168,-10.735678212498746,5.624038434740063e-05,-10.735678212498746,5.624038434740063e-05,10107,0.9906656916859649,0.009334308314035129,310000,62.30096073816959,-344.35983526296855,"[[0.113,0.85,0.037],[0.019,0.78,0.2]]"
320,-62.010462691360985,0.010660575339700353,-10.599664267569802,5.548802868619973e-05,-10.599664267569802,5.548802868619973e-05,10444,0.9911615578590348,0.008838442140965208,320000,61.772605924617146,-23.62602151320621,"[[0.358,0.578,0.064],[0.181,0.642,0.178]]"
330,-61.47976005471727,0.01057214687731939,-10.447409575241373,5.464587946492878e-05,-10.447409575241373,5.464587946492878e-05,10786,0.9914766060810482,0.00852339391895184,330000,61.237521537209595,-0.06412608783929973,"[[0.231,0.485,0.284],[0.27,0.393,0.336]]"
340,-60.93149961477517,0.010494700234692279,-10.30579609418733,5.389071593376395e-05,-10.30579609418733,5.389071593376395e-05,11132,0.9913959902110377,0.008604009788962223,340000,60.677360745336266,-3.8792662415693125e-10,"[[0.009,0.902,0.089],[0.089,0.464,0.447]]"
350,-60.355633753094764,0.010424173346931956,-10.155367175565475,5.2894313058646835e-05,-10.155367175565475,5.2894313058646835e-05,11477,0.991768973492662,0.008231026507337936,350000,60.087814277322515,-43.59978666485559,"[[0.225,0.486,0.289],[0.264,0.394,0.342]]"
360,-59.74911819918956,0.010365298056649307,-9.99858124311983,5.187659045562411e-05,-9.99858124311983,5.187659045562411e-05,11826,0.9919972645332564,0.008002735466743531,360000,59.46632483102298,-6.695347703124114,"[[0.134,0.793,0.073],[0.273,0.566,0.16]]"
