episodes,eval_sod_reward,eval_sod_end_l2
10,-33.25321097797589,0.0014136136512161686
20,-27.631569034656508,0.001195735062287073
30,-24.081569424075536,0.0010451508131056881
40,-21.779368094673888,0.0009927947351885365
50,-20.277532122319936,0.0009533367027608607
60,-19.24124315459003,0.0009128160851649339
70,-18.442194352805437,0.0008585997917512059
80,-17.822780457462986,0.0008138042533238564
90,-17.251977048963386,0.0007787628585936544
100,-16.716929298188404,0.0007934315665530774
110,-16.205788553022085,0.0008195202795676159
120,-15.644621618056071,0.0008782299831114541
130,-14.992206422558175,0.0009301397489534939
140,-14.247271891805255,0.0008994914103660489
150,-13.332496689018969,0.000740081647390877
160,-12.292039754761907,0.0005398345294491767
170,-11.44650461018495,0.0004437436954936289
180,-11.00495274650387,0.0004049775166804275
190,-10.707943177544358,0.00037956125301826817
200,-10.395785740387405,0.00035224178722376213
210,-10.127276582529715,0.00033632496362526106
220,-9.800790442568015,0.0003179857761311254
230,-9.556176462094237,0.0002930468564078204
240,-9.08895671242486,0.0002504873824856796
250,-8.815801878153776,0.00023406439879711968
260,-8.532424178936877,0.0002175441255194569
270,-8.258132224604138,0.00020165427451847274
280,-7.988170185501062,0.0001847541039529076
290,-7.731876610164249,0.00017008946241955401
300,-7.494421284810472,0.00015873404147180638
310,-7.304080974071788,0.00015263447132114188
320,-7.1417597616679,0.00014831953125583495
330,-6.979695765237153,0.00014113100467679607
340,-6.855880736258141,0.00013850366117527268
350,-6.805427167790724,0.00013853698753973407
360,-6.716671751323234,0.00014400496650649066
370,-6.633856390096404,0.00014113797782906221
380,-6.510841484029764,0.00013527965096660563
390,-6.454467977949586,0.00013733949732868715
400,-6.372442754706829,0.0001350517348742278
410,-6.31817055813594,0.00013681228245195217
420,-6.2539279338719735,0.00013644529230426362
430,-6.1840646722462,0.00013511463227056846
440,-6.132612041744544,0.00013540822814794927
450,-6.075248891087973,0.00013429422912261164
460,-6.022598289908198,0.0001334797413098551
470,-5.968589062140558,0.00013242855833250152
480,-5.915428758657877,0.00013136155781794212
490,-5.861176806259162,0.0001300704297450489
500,-5.803720376067814,0.00012866239701711662
