episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
110,-60.73276454318157,0.011909495464384783,-11.72915782172862,6.712670257127463e-05,-11.72915782172862,6.712670257127463e-05,2135,0.9638212010768069,0.036178798923193124,110000,58.50716923295813,-4.1127989902633994e-12,"[[0.466,0.534],[0.507,0.493]]"
120,-55.84324309002172,0.0109188220288437,-10.536887607007312,5.43268230647367e-05,-10.536887607007312,5.43268230647367e-05,2334,0.967339085742853,0.03266091425714706,120000,53.75310341736271,-159.52612441099626,"[[0.462,0.538],[0.512,0.488]]"
130,-51.39699460500284,0.010072743246288901,-9.64291905039469,4.6207599280162915e-05,-9.64291905039469,4.6207599280162915e-05,2535,0.9694840124838748,0.030515987516125158,130000,49.536044595774854,-9.49311219621886e-09,"[[0.46,0.54],[0.517,0.483]]"
140,-47.3951619162561,0.009189736105925089,-8.783742972731899,3.906527954356566e-05,-8.783742972731899,3.906527954356566e-05,2735,0.9723382201395284,0.027661779860471608,140000,45.697020008249545,-5.4711790653527697e-14,"[[0.46,0.54],[0.579,0.421]]"
150,-43.78586530063871,0.008351510920915996,-7.990853372782574,3.29472020217172e-05,-7.990853372782574,3.29472020217172e-05,2935,0.9742559782847119,0.025744021715288085,150000,42.32946798853281,-135.32497155906918,"[[0.829,0.171],[0.349,0.651]]"
160,-40.80868598123952,0.007643997265883015,-7.409000752186763,2.89565021359656e-05,-7.409000752186763,2.89565021359656e-05,3134,0.9766827176637339,0.023317282336266044,160000,39.621874987343276,-1.2789769243681796e-14,"[[0.652,0.348],[0.447,0.553]]"
170,-38.304273246752004,0.007069267724519596,-6.90058332962998,2.566694496480374e-05,-6.90058332962998,2.566694496480374e-05,3335,0.9779148007087171,0.02208519929128292,170000,37.26239638758854,-97.72572189988735,"[[0.476,0.524],[0.515,0.485]]"
180,-36.118399937785846,0.00654151358931324,-6.4399183498518795,2.307839065707967e-05,-6.4399183498518795,2.307839065707967e-05,3536,0.9790541971749255,0.020945802825074505,180000,35.2142781383092,-5.144423271170392e-05,"[[0.482,0.518],[0.513,0.487]]"
190,-34.222144630961054,0.006076181866310151,-6.008353216212978,2.0786147840943525e-05,-6.008353216212978,2.0786147840943525e-05,3736,0.9803020448799308,0.019697955120069176,190000,33.44552953697945,-20.204862278178055,"[[0.491,0.509],[0.51,0.49]]"
200,-32.602326877776306,0.005717504674451177,-5.69261236549893,1.888862294771976e-05,-5.69261236549893,1.888862294771976e-05,3938,0.9809181529004132,0.01908184709958688,200000,31.948350913007463,-0.49825736141780164,"[[0.499,0.501],[0.509,0.491]]"
