episodes,eval_sod_reward,eval_sod_end_l2
10,-46.8142371597475,0.002577677050292285
20,-38.206712426411904,0.002541384002698025
30,-32.21132676633017,0.0023707975140021616
40,-27.965503636201053,0.0020429452373613237
50,-24.761800705410092,0.00171554672293662
60,-22.3407726324414,0.0014990102510647227
70,-20.472769813532064,0.0013767779364663047
80,-19.00691969578521,0.001290935228103329
90,-17.658827538819384,0.001209483718894909
100,-16.38834575011325,0.0010978999789878333
110,-15.143354191603473,0.0009472460952807371
120,-13.947073737536817,0.0007340714903438658
130,-12.99827427596407,0.0005714123619167414
140,-12.398935380985785,0.000504703915538621
150,-12.090059822382175,0.0004876689310584169
160,-11.795229175910464,0.00046820941117841394
170,-11.48920995081499,0.0004440135786518096
180,-11.22592169433699,0.0004257033023360355
190,-10.971920237319694,0.00040794484741564556
200,-10.700575733112094,0.00038917522521385864
210,-10.43291154275997,0.00037386696768564905
220,-10.14483622234316,0.00035375236602391136
230,-9.898270761449858,0.0003328807549327074
240,-9.63648945101965,0.0003090512692468312
250,-9.379139148375208,0.0002868112726128462
260,-9.100543428150727,0.00026340794545726473
270,-8.815383619147555,0.00024057729471730724
280,-8.55011271347639,0.0002184953050225255
290,-8.326309683321933,0.00020009128888472878
300,-8.108025147069993,0.00018491510110093943
310,-7.909364834576746,0.00017259390878518702
320,-7.741727167574055,0.00016395566731549163
330,-7.544380440538404,0.00015029059848319746
340,-7.409942761557741,0.00014322696334719684
350,-7.283575398210954,0.0001350421520772401
360,-7.1801912503962555,0.00013041958137439462
370,-7.11318139644613,0.0001295557998640256
380,-7.0266713600171995,0.00013291492592027156
390,-6.920083440589086,0.0001325946750995697
400,-6.821956922779184,0.0001333229083242645
410,-6.707369940365607,0.0001304064148731568
420,-6.617157588147452,0.0001295303797754424
430,-6.529445070013125,0.00012998804321629522
440,-6.4308225209590235,0.00012868913807676758
450,-6.333658858314769,0.00012663073023223774
460,-6.223775947843546,0.0001251928170161744
470,-6.092418437508261,0.0001227745402883366
480,-5.95398990567418,0.0001211604568605412
490,-5.787472914098242,0.00011821847069789148
500,-5.596641172778493,0.00011390859001898531
510,-5.383721927777876,0.00010604227362007127
520,-5.215706185832599,0.0001008839953098946
