episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
10,-171.19470897182578,0.038515067739539686,-49.13592520017958,0.0006409877081761546,-49.13592520017958,0.0006409877081761546,226,0.6576211557494779,0.3423788442505221,10000,161.09190215109638,-121.86992809350276,"[[0.374,0.291,0.335],[0.31,0.527,0.163]]"
20,-150.8609570954374,0.031857588305213305,-41.79255344699863,0.0005206836420207829,-41.79255344699863,0.0005206836420207829,455,0.8318434116701512,0.16815658832984878,20000,143.19425312444588,-0.0003829894159302615,"[[0.317,0.359,0.324],[0.324,0.368,0.308]]"
30,-135.43879955047686,0.027245925398782966,-36.2753882808418,0.00043240946508069485,-36.2753882808418,0.00043240946508069485,699,0.8890484564955051,0.11095154350449483,30000,129.72177985723803,-1.121644466854023,"[[0.266,0.411,0.322],[0.244,0.548,0.208]]"
40,-124.10963380664332,0.023999313648427438,-32.438027836553516,0.0003670907335025095,-32.438027836553516,0.0003670907335025095,939,0.915583739298836,0.08441626070116401,40000,120.01972764176631,-27.56847330645495,"[[0.25,0.525,0.225],[0.214,0.635,0.151]]"
50,-115.95920671455988,0.0218151491366809,-29.779423337268828,0.0003146858356314707,-29.779423337268828,0.0003146858356314707,1178,0.9353845428671884,0.06461545713281154,50000,112.92447505422759,-314.50815111154265,"[[0.315,0.362,0.323],[0.322,0.364,0.315]]"
60,-109.84701693600519,0.020335371157050162,-27.840838942928894,0.0002743899096065844,-27.840838942928894,0.0002743899096065844,1428,0.9459560710852616,0.05404392891473838,60000,107.53127526770085,-2.8998095284511314e-06,"[[0.312,0.369,0.319],[0.319,0.368,0.313]]"
70,-105.05724980272657,0.019274394353623346,-26.295957672909935,0.00024456238727650056,-26.295957672909935,0.00024456238727650056,1683,0.95147779299195,0.04852220700805004,70000,103.13637439371546,-2.3519953319364526,"[[0.214,0.682,0.104],[0.206,0.688,0.107]]"
80,-100.99649369092688,0.01845586671218641,-24.995016461896892,0.0002228120666796268,-24.995016461896892,0.0002228120666796268,1928,0.9604338679918056,0.03956613200819436,80000,99.30602692636884,-434.8461308888403,"[[0.194,0.616,0.191],[0.152,0.668,0.18]]"
90,-97.30765309028813,0.0177532236671224,-23.81634469683131,0.00020576249875384369,-23.81634469683131,0.00020576249875384369,2175,0.9648611994540701,0.035138800545929855,90000,95.68292778090108,-18.552622312491845,"[[0.302,0.388,0.31],[0.313,0.379,0.308]]"
100,-93.70916157700763,0.01709274168729845,-22.683970396806576,0.00019278316822236562,-22.683970396806576,0.00019278316822236562,2426,0.9673288736876668,0.03267112631233319,100000,92.11117891290388,-551.2353208581968,"[[0.298,0.394,0.308],[0.312,0.383,0.305]]"
110,-90.20678907007755,0.016424581452896676,-21.566360838515212,0.00018633996560485505,-21.566360838515212,0.00018633996560485505,2676,0.9710023509668931,0.028997649033106872,110000,88.65953272584284,-6.279575970324681e-10,"[[0.295,0.399,0.305],[0.311,0.386,0.303]]"
120,-86.76259542276387,0.01571145945641742,-20.423618747341635,0.00018683315051459882,-20.423618747341635,0.00018683315051459882,2932,0.9731061074428751,0.026893892557124894,120000,85.1967316471282,-130.35903576006953,"[[0.293,0.404,0.303],[0.31,0.389,0.301]]"
130,-83.21561893382378,0.01494588514785071,-19.20679762220685,0.00018869713037886977,-19.20679762220685,0.00018869713037886977,3185,0.9752004434380686,0.024799556561931446,130000,81.56618577435697,-3.88806954724168e-05,"[[0.293,0.407,0.3],[0.309,0.391,0.3]]"
140,-79.50185735659917,0.01413128502069479,-17.920592710420568,0.00018348317725901654,-17.920592710420568,0.00018348317725901654,3437,0.9777279480331058,0.022272051966894166,140000,77.80157673843476,-1.9528268924091317e-08,"[[0.226,0.619,0.155],[0.21,0.669,0.121]]"
150,-75.70976217574184,0.013297008875163285,-16.651622030595295,0.00016818230711469097,-16.651622030595295,0.00016818230711469097,3695,0.9786040925744778,0.021395907425522172,150000,74.00435674607104,-121.7710890722922,"[[0.291,0.569,0.14],[0.068,0.843,0.088]]"
160,-71.92596053256133,0.012433274489064271,-15.341752672357565,0.00014574724304826714,-15.341752672357565,0.00014574724304826714,3957,0.9796263863586154,0.020373613641384524,160000,70.22678538007561,-1.2421048745106168e-09,"[[0.352,0.6,0.048],[0.103,0.78,0.117]]"
170,-68.13287338491087,0.011560534758312448,-13.976932762991348,0.00011653244372324662,-13.976932762991348,0.00011653244372324662,4219,0.9814787631033259,0.018521236896674054,170000,66.41461522635193,-88.62132728250891,"[[0.298,0.422,0.281],[0.303,0.402,0.296]]"
180,-64.2332852160029,0.010795329804147564,-12.512617757239191,8.345654434598508e-05,-12.512617757239191,8.345654434598508e-05,4486,0.9818414573366605,0.01815854266333949,180000,62.38271602686667,-0.0026997314735173277,"[[0.297,0.425,0.279],[0.301,0.404,0.295]]"
190,-59.87791977917389,0.010194210482646194,-10.98086471222256,5.314874128740827e-05,-10.98086471222256,5.314874128740827e-05,4751,0.9836647883198121,0.016335211680187933,190000,57.83011274288436,-63.978739874784445,"[[0.3,0.426,0.274],[0.298,0.407,0.296]]"
