episodes,eval_sod_reward,eval_sod_end_l2
10,-34.26522905259213,0.0031248135373038483
20,-29.357908204714164,0.002508354506108579
30,-25.89450953925761,0.0017692058656238313
40,-23.465604037675504,0.0012889789250263796
50,-21.64596349114498,0.0010749928194307313
60,-20.286368962345964,0.0009910553229101077
70,-19.1950260651277,0.0009446742573991559
80,-18.28950676369144,0.0009114633308795609
90,-17.481862812082877,0.0008907271590753956
100,-16.714380655623604,0.0008790306701599926
110,-15.981357153972334,0.0008773323322417039
120,-15.282827745939235,0.0008829387088783916
130,-14.563500397555975,0.0008814292991464968
140,-13.84385917087475,0.0008390565931839178
150,-13.131717795983624,0.0007783956612822439
160,-12.404198199862293,0.0007109930843811544
170,-11.653748292074658,0.0006168638095804819
180,-10.856924530680402,0.0004944050930647598
190,-9.984355073783426,0.00034452516102330026
200,-9.246551777842233,0.0002488765122756708
210,-13.303048436680958,0.0004496817648862577
220,-12.96473755494977,0.00041121326369951416
230,-12.596160441219945,0.00039131472809015997
240,-12.162670644582398,0.0003976576651167967
250,-11.62510378532466,0.00043861755486891447
260,-10.965559582968817,0.0004718005644138487
270,-10.151956613414319,0.00040142020762281216
280,-9.258872510264188,0.0002799881690391813
290,-8.50147044219427,0.00021408433967233233
300,-8.124464196229031,0.0001964807690043293
310,-7.80027414478307,0.00017503418318962733
320,-7.5716503328413,0.00016820631466604553
330,-7.403780354258873,0.00017332963790637465
340,-7.212240575139382,0.00016901856914129423
350,-7.035910340799329,0.00016250013940197818
360,-6.861989128740078,0.00015158398973358846
370,-6.744254391951841,0.00015121803830309166
380,-6.632707907630191,0.00015009095764110367
390,-6.518939067787339,0.00014664602386440842
400,-6.3986723900465945,0.00014344477349024148
410,-6.273666930972219,0.0001398871001764788
420,-6.151841642427634,0.00013789953106192355
430,-6.016885032054424,0.000135901796824874
440,-5.865095334205503,0.00013259815289728096
450,-5.687005726773044,0.00012786605218995315
460,-5.478116205929774,0.00012139088872574979
470,-5.279216504522304,0.00011601624144619982
480,-5.119015429022601,0.00011236340018374128
490,-4.977837705539719,0.00010648138557623442
500,-4.8689636908526674,0.00010538096585500162
510,-4.76658870179249,0.00010227500290687458
520,-4.678610795577376,0.00010052183504641442
530,-4.609830116466072,9.935883691722424e-05
540,-4.546134304395984,9.868458102452586e-05
550,-4.483627976239808,9.767163258363475e-05
560,-4.435993246803757,9.763393890675279e-05
570,-4.400908757126489,9.807944035476263e-05
580,-4.369275139745829,9.876247278173369e-05
590,-4.333524051762801,9.933158227081442e-05
600,-4.289973317838547,9.901458041402218e-05
610,-4.250537883759871,9.843262119310536e-05
620,-4.218037167347311,9.886105642511228e-05
630,-4.180731320477015,9.793580154991896e-05
640,-4.140916324771218,9.832246209777454e-05
650,-4.103901543804045,9.859204756187021e-05
660,-4.0635379816607164,9.754273946152548e-05
670,-4.03153704685501,9.722328203813334e-05
680,-4.001978328738935,9.671222765813505e-05
690,-3.9744742876943953,9.659716107634505e-05
700,-3.949194370523976,9.658641639417215e-05
710,-3.9262034514609354,9.641825957148056e-05
720,-3.9052225128721205,9.647026185729782e-05
730,-3.878683826544029,9.633989982009964e-05
740,-3.8514668253237097,9.648528687626826e-05
750,-3.827510769531351,9.647008557653955e-05
760,-3.80768418424956,9.658729825205934e-05
770,-3.790372929826946,9.688343322654044e-05
780,-3.7734831822554633,9.699757041327652e-05
790,-3.75403980852118,9.67220346141248e-05
800,-3.7397543096473718,9.713684708328398e-05
810,-3.7259771463858455,9.75253683941826e-05
820,-3.7094301190208774,9.758782043065188e-05
830,-3.695257746233833,9.774077615741152e-05
840,-3.677385513819693,9.743627859702934e-05
850,-3.6602361891711346,9.725337510193368e-05
860,-3.6481601088135616,9.731220698350708e-05
870,-3.6350025949215214,9.75111497540334e-05
880,-3.6203090884057665,9.699975946614294e-05
890,-3.606928480506538,9.706508743834992e-05
900,-3.5971031209061954,9.691157836753055e-05
910,-3.587317924261734,9.782171060324428e-05
920,-3.567091841648505,9.757314839101739e-05
930,-3.5537176448544976,9.753015433310819e-05
940,-3.541229260104951,9.757247733788559e-05
950,-3.527586399990163,9.723532631299755e-05
960,-3.5145428633054236,9.706675674002985e-05
970,-3.5036783701745637,9.7163083346755e-05
980,-3.491182932896738,9.694049342076471e-05
990,-3.476522420778155,9.63366933067902e-05
1000,-3.4668833634070744,9.640746760964579e-05
1010,-3.454908811998728,9.598746479191786e-05
1020,-3.443918542328575,9.596018259911963e-05
1030,-3.430765153426789,9.562836839969528e-05
1040,-3.4187753323408163,9.560302166017491e-05
1050,-3.4069515492675415,9.538402056231016e-05
1060,-3.3974020652634693,9.558349193681978e-05
1070,-3.386045665585357,9.526258083086281e-05
1080,-3.376198213553953,9.526644131290373e-05
1090,-3.364033014318259,9.542596041382897e-05
1100,-3.3509030672767666,9.503660807215566e-05
1110,-3.342051157840215,9.497868153059645e-05
1120,-3.3349213125207875,9.488029138555864e-05
1130,-3.324919635126984,9.47814675119824e-05
1140,-3.3148350436394503,9.440585207323281e-05
1150,-3.3058843109602236,9.424402444954063e-05
1160,-3.296227487185282,9.398357147738241e-05
1170,-3.2878414344670213,9.403369715176229e-05
1180,-3.277113649050461,9.366889861700382e-05
1190,-3.267323612775197,9.339771154854503e-05
1200,-3.258728889285411,9.349351991963268e-05
1210,-3.245567031176227,9.329321812805668e-05
1220,-3.230276387685557,9.263789557681057e-05
1230,-3.2233344895742033,9.27068839412432e-05
1240,-3.216672405145843,9.228127832866997e-05
1250,-3.210016615634256,9.231761309180931e-05
1260,-3.1947873715154564,9.184840465889648e-05
1270,-3.185352508548686,9.15154161048943e-05
1280,-3.176791484549124,9.119401883789208e-05
1290,-3.165607403425774,9.094756759398075e-05
1300,-3.1552773091633193,9.067397717496494e-05
1310,-3.1447229579068003,9.021311215054793e-05
1320,-3.1340907458192775,8.974999003944135e-05
1330,-3.125483616782031,8.966530412611565e-05
1340,-3.1082242535602913,8.8208400893224e-05
1350,-3.1031241514231453,8.873087516030291e-05
1360,-3.0966768876181106,8.900134824937289e-05
1370,-3.08372981670833,8.851627783782725e-05
1380,-3.0691168138020912,8.759659256017644e-05
1390,-3.0564037767911834,8.716190786058645e-05
1400,-3.0445206249431336,8.68670858994579e-05
1410,-3.03122227774706,8.63658829563099e-05
1420,-3.016386777904703,8.594263120786821e-05
1430,-2.999916444041473,8.49378584142281e-05
1440,-2.991089929872652,8.519493811276227e-05
1450,-2.9762692250165834,8.427926012346815e-05
1460,-2.9643216302524826,8.374915340681156e-05
1470,-2.9545733444627587,8.403010744011816e-05
1480,-2.961044770549121,8.649652909494194e-05
1490,-2.926823574913362,8.32372487240657e-05
1500,-2.912820645972485,8.276047454793114e-05
1510,-2.907183750614001,8.377572734656234e-05
1520,-2.8927355353470108,8.323821325123749e-05
1530,-2.880222813582352,8.302402973394562e-05
1540,-2.861999735801455,8.222391911235227e-05
1550,-2.851376896763791,8.205580353460878e-05
1560,-2.835492985629992,8.132444027574588e-05
1570,-2.8226257899754703,8.123657089514689e-05
1580,-2.810810320811896,8.10250525031274e-05
1590,-2.8006631829303417,8.115206488396539e-05
1600,-2.7926561590107024,8.145076100468969e-05
1610,-2.7817656605421224,8.12119108206359e-05
1620,-2.754749156905516,7.846397558403605e-05
1630,-2.7570581062847506,8.014043967848548e-05
1640,-2.748791908858994,8.041781928420526e-05
1650,-2.7163533359840977,7.684531391129191e-05
1660,-2.718652959081138,7.887230160458493e-05
1670,-2.7042363034162933,7.804768828733618e-05
1680,-2.686538540685888,7.67131410465955e-05
1690,-2.687720184521291,7.837481176031122e-05
1700,-2.6713053931026263,7.707291069990992e-05
1710,-2.6587060979491297,7.653862078697993e-05
1720,-2.645638882921223,7.556111379081896e-05
1730,-2.647433753453575,7.718571075556962e-05
1740,-2.615184324040603,7.35601648422742e-05
1750,-2.5929950552733305,7.194323737020993e-05
1760,-2.589490125287466,7.295849507070523e-05
1770,-2.5753516141543686,7.22527044080382e-05
1780,-2.57187385106069,7.307765057483887e-05
1790,-2.5563792392849822,7.210054894565246e-05
1800,-2.557775436674215,7.384244101755631e-05
1810,-2.5227680218918027,7.006720205566707e-05
1820,-2.533709059641215,7.31784082345967e-05
1830,-2.514182301366007,7.146997151114278e-05
1840,-2.4914080198667294,6.929548402050952e-05
1850,-2.479576586045194,6.894779315842417e-05
1860,-2.488107944939677,7.174801807461021e-05
1870,-2.46741559293777,7.007812877504269e-05
1880,-2.458091518497071,6.995306365536124e-05
1890,-2.422028274300685,6.612831778237035e-05
1900,-2.413172696760562,6.62923616680329e-05
1910,-2.405404788534937,6.665736522264777e-05
1920,-2.406688890127906,6.821437186786049e-05
1930,-2.4026746722479957,6.918076585920232e-05
1940,-2.3551325846082514,6.390683450378492e-05
1950,-2.368333918571674,6.715642404864122e-05
1960,-2.359637711944668,6.730047509415801e-05
1970,-2.3305396441788626,6.405104947508931e-05
1980,-2.3216110018815357,6.357201009664105e-05
1990,-2.3327886251043912,6.650669502364794e-05
2000,-2.3305221260221947,6.700893845376029e-05
2010,-2.3015231226669326,6.348900617019088e-05
2020,-2.313389373997475,6.601075710430031e-05
2030,-2.2973066634323875,6.440532904919038e-05
2040,-2.3019287724835955,6.605241108997392e-05
2050,-2.2860532243251637,6.465624089544474e-05
2060,-2.2664615753185937,6.289948039607453e-05
2070,-2.2731231296460184,6.464014730291564e-05
2080,-2.2620976226342506,6.380360670322465e-05
2090,-2.258409987615883,6.385807791250187e-05
2100,-2.250493430185854,6.358577239806019e-05
2110,-2.2585943092075826,6.525164677220379e-05
2120,-2.257494113109932,6.585823597463713e-05
2130,-2.214348006712085,6.039011008131114e-05
2140,-2.234499216392269,6.4452781762635e-05
2150,-2.221443034425997,6.299562881590759e-05
2160,-2.1955045830653463,5.995982249495238e-05
2170,-2.21626704804135,6.373711357878314e-05
2180,-2.1995455722032675,6.15409614844952e-05
2190,-2.1991248930918808,6.240312250307612e-05
2200,-2.1857257437934545,6.119020883454349e-05
2210,-2.2017725016267513,6.439928551343012e-05
2220,-2.172648550481466,6.027161033413167e-05
2230,-2.17907719191177,6.216687997538806e-05
2240,-2.180545249021908,6.312724998538532e-05
2250,-2.1551034196086487,5.981368130026038e-05
2260,-2.1659121123498615,6.245152947817603e-05
2270,-2.1441930796764637,5.971215018237897e-05
2280,-2.158435710431682,6.253977359014316e-05
2290,-2.1453060401017847,6.057802230555138e-05
2300,-2.14146228985913,6.008631429506565e-05
